"","X","reviews","ratings"
"1330",107,"I was kinda fun.  2? Repetitive, not nearly so much fun...and about an hour too long.",2
"1331",108,"Probably should've left it with the first. Well, you definitely should've left it with the first. It's fun to watch the cast be crazy, though, especially the endlessly wacky John Malkovich.",2
"1332",109,"John Malkovich is the star of the film for me. On the one hand all the actors work better together than the first film but the overall story is not so good. It was fun to watch though, it just needed a better script with less double-crossing.",3
"1333",110,"Despite its excellent cast, it lacks the fun and campy charm of its predecessor, and its action sequences are shallow and underwhelming.",3
"1334",111,"Molto simile al primo capitolo, il cast è ancora più fenomenale e tiene banco per tutto il film.
Per il resto, nulla di nuovo, film d'azione che si fa vedere senza mai emozionare.",3
"1335",112,"I thought it was funnier and used its cast better even better than the original and I loved the original.",4
"1336",113,"Easily the greatest late Allen film, with top-notch performances from all the leads--especially Hawkins and Cannavale--and an especially good support turn from a brilliantly cast Andrew Dice Clay.",5
"1337",114,"I have no words to say about this movie. It is a wonderful cinematographic work. Through the eyes of Cate Blanchett, we can see the brokenness of a person when they lost everything. Before she had everything, but now the truth is she has nothing. So the breakdown drove her crazy, she has mental problems. Sometimes she is not aware of what is real and what is a dream and she has to take medication to stabilize. Not only that, but we also see the distinction between rich and poor in this movie. Despite losing everything, the main character Jasmine still wants to regain her rich life. A movie that speaks of many problems in life. The actors are all good, and the most special is still Cate Blanchett. That's why she won so many awards thanks to this movie, especially the 2014 Oscar for the best actress.",4
"1338",115,"Fantastic! you dive into the Crazy with Cate! you can see in this performance that she has a Theater background which is incredible. you see the ideals that are put onto women and how even more Women hold them on to each other not just society. cool Movie she very Much deserved the Oscar for this.",5
"1339",116,"More relationship analysis from Woody Allen which is about as new, interesting and insightful as stale bread.
If you've seen any other 'relationship' movie by Woody then you can give this one a miss.
Good grief Woody Allen has become boring and predictable.",1
"1340",117,"Worth watching for Cate alone.",5
"1341",118,"Not something I would like to watch. But everyone in it was good so… meh.",2
"1342",119,"Although it sometimes does get tangled up in its own script, Allen's ‘Blue Jasmine' really works, especially the golden performances by Blanchett, Hawkins and Cannavale.",4
"1343",120,"Fabulous!! This film is fantastic. I love the story and the acting was exceptional. I loved it.",5
"1344",121,"(Spoiler alert) While I liked the acting, the story is so depressing. I hate it when I can't relate to the main character and she doesn't redeem herself. She is just so self-centred, arrogant, and superficial. And most of the people around her are no better. Or is that the point of the movie? And in the end she still doesn't get it.",1
"1345",122,"A surprisingly fascinating movie. Cate Blanchett is dynamite, and the production is so warm and crafted. A refreshing version of a romcom, maybe. Super original.",5
"1346",123,"Funny movie for people that don't have a stick up their you know what...",5
"1347",124,"One of Aubrey Plaza's most impressive performances in my opinion. A fun and ridiculous portrayal of what it is like to be an overachieving teenage girl. Star-studded cast made for a colorful viewing experience. Quite the joyride.",4
"1348",125,"Pretty much the female American Pie, and that's a good thing.",5
"1349",126,"Great casting, laughed a few times...
nothing more than that",3
"1350",127,"Thank you Showtime as I randomly stumbled upon this late at night. I couldn't tell you how I had never seen it let alone heard of it before given all the people in the cast that I already loved. Aubrey Plaza as a valedictorian in the early 90s? Haha yes please! I'm amazed at all of the stuff that they were able to get away with, not that I'm complaining.",4
"1351",128,"the jokes, delivery, cast etc are not nearly as bad as anyone says, but what really bothered me about the movie is it's constant and unnecessary involvement of young children in sexualized situations. it wasn't funny the first time they did it, they could easily have done the entire thing at a pool where adults hung out, but over and over again there is nudity and public sexual acts in front of kids. i'm far from prude, those scenes would have been funny if there werent a group of 10 year olds in swimsuits staring as aubrey plaza like literally strips in front of everyone. not a single person in any way mentions that it's inappropriate to do these things in front of kids.",2
"1352",129,"""The To Do List"" is pretty similar to other raunchy comedies, but I always have a soft spot for these types of movies. I think the movie is one of the more underrated comedies I have seen and it made me laugh quite a bit. The premise isn't that inventive and no one actually looks like they're high school-aged, but these are things I have already overlooked in other similar movies. I think Aubrey Plaza is naturally funny so I enjoy seeing comedies featuring her in the lead. Overall, it isn't the best raunchy teen comedy, but it is still a good amount of fun.",4
"1353",130,"Characters are cruel to each other and out of touch. The dialogue is disjointed and sounds like it was written by a high-school student.",1
"1354",131,"Pretty typical coming-of-age sex comedy, only the genders are reversed here. There's a few funny bits, but a lot of it feels like they're trying a little too hard to be edgy, but it just comes off as awkward. Still, there's a decent amount of fun to be had.",3
"1355",132,"The To Do List is raunchy and rude and intermittently funny, but eventually seems to just sputter to a stop without realizing its full potential.  Most of the potential big laughs, which include a lifeguard eating feces that is found floating in the pool, are delivered in a lazy manner and grow tiresome over time.  The movie is saved by Aubrey Plaza, whose perfect comedy timing and consistently odd delivery generate the vast majority of the film's laughs. The supporting cast, other than maybe Bill Hader, don't actually provide much support and seem to serve as pylons for Plaza to maneuver through to get to her punchlines.",3
"1356",133,"DE CHIQUITA ME RE GUSTABA Y AHORA ES RE ""WTF ESTA PELI ES NEFASTA""",2
"1357",134,"Es buena un poco pero también un terrible pero es tiene interante la historia",3
"1358",135,"I hated the first one but I love this one! More Smurfs less real humans, did the trick for me! Smurfs are french why should they have gone to NYC?! I love this reimagined Smurfette 2.0 origin story it got me good at the end :'(",4
"1359",136,"You thought The Emoji Movie was shitty? Think again. This has to be one of the worst hybrid adaptations to have ever been created. Even worse than the first movie, the Yogi Bear movie, Alvin Chipwrecked, both the Garfield movies, the 2021 Tom and Jerry movie, and Cats 2019.

It's so bad I couldn't even finish this anymore. I even sold the game it spawned to a pawn shop for a dollar. I am even glad I never saw this in cinemas and rented the dvd instead. I wish I never liked the live action Smurfs movies in the first place.",1
"1360",137,"The funniest joke is the burping!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",5
"1361",138,"It's more cringe and more stupid. worst than the first film.",1
"1362",139,"Yeah ... Hollywood does not miss the opportunity to make a sequence of something that was already bad to get even worse!",2
"1363",140,"I have no words for this movie it just sucks on so many levels to the point where I even see a clip of it I feel nauseous. like the first one most characters were annoying or just uninteresting the story was boring and I fell asleep I have no idea why I liked it as a kid.",1
"1364",141,"Not as good as the first, But a little bit of a fun movie",5
"1365",142,"Like its predecessor, it's only enjoyable for young children, and it's lacking in ambition, originality, hilarity and intelligence.",1
"1366",143,"It's formulaic, by the numbers fun. But it's two stars share a chemistry that bolsters that familiar action to the point you'll forget it's basically Lethal Weapon from Wish.com.",4
"1367",144,"This is not a philosophical movie. This is an entertainment movie for men who are not in the mood of thinking too hard, while their women is cooking or taking care of the kids. I have an awesome time watching this movie by myself. This is the perfect movie to watch after a long day of work and baseball season is over. ",5
"1368",145,"It was...meh. There's nothing special in this movie, the story is decent with a lot of none sense. It for sure has fun moments, but the whole plot twist with the CIA and mexican dealers is total bullshit. I really liked the start of the movie, but than it just fell of.
4/10",2
"1369",146,"Absolute rubbish. The plot is the definition of nonsensical and formulaic. The DEA, Navy, CIA, and Mexican drug dealers all shooting it out was unbelievably fake. The idea that the CIA go around killing everyone without any consequences is beyond laughible. Similarly, the Navy trying to kill a fellow member of personnel was pure stupidity. There was the typical unnecessary sex scene early on. The plot twist about how the DEA woman was in bed with the Navy guy was predictable, like several other plot points. The main characters managed to break into a Navy base without being killed or arrested. The two main characters survived the final shootout despite being shot at from all sides and having no cover besides floating dollar bills. The list goes on and on. To make matters worse, the characters were generic, unlikeable, and received no development. The acting was far from the best, the pacing was fine if you like being overstimulated by action scenes, the comedy was unimpressive, the cinematography and visual effects were average, and the soundtrack was completely forgettable. Nothing original to see here.",1
"1370",147,"Whalberg and Washington drew me in, but seriously, how did this rubbish ever get made. Two undercover agents, not knowing the the other is an undercover agent rip each other off after robbing a bank only for their colleagues to then set each of them up to rip them off for the money they stole.
Whalberg and Washington do their best but the story, the writing, the direction and the production are all abysmal. Get past the first 30 minutes and you must either have no standards or you have fallen asleep. Dreadful.",1
"1371",148,"It is a fun movie the second time around. Honestly, the first time was not so good, but the second time was much more fun.",4
"1372",149,"Denzel always great and mark Wahlberg held his own nice action film",4
"1373",150,"Nothing really special about this paint by numbers anti-buddy cop flick and one's level of enjoyment is likely to coincide with their assessment of the performances. The plot attempts to provide some twists along the way but much of this just felt hackneyed and predictable.",3
"1374",151,"Eh, my pizza was better.",2
"1375",152,"Nice popcorn movie. The ending could've had better closure.",3
"1376",153,"This was a horribly made movie. Aside from the horrible acting, the choice of music when transitioning scenes, what was weird was the audio throughout the movie. The actors voices were sometimes clear and then sometimes not clear, and typically when that happens you know the film was a low budget movie.",1
"1377",154,"I didn't think much. I have always admired Lindsay Lohan for her acting skills but this movie was very underwhelming and the worst acting of her career. Mostly the movie was boring and just blah.",2
"1378",155,"Don't believe the haters. This is a good film, particularly for fans of Paul Schrader's work.",4
"1379",156,"A original take of the Hollywood nightmare, power, lust, toxic relationships this movie has it all and more Lindsay's character is the bridge between good and evil.",5
"1380",157,"I love this movie is so iconic in many ways it`s going to be a cult classic.",5
"1381",158,"Awful movie. Don't waste your time.",1
"1382",159,"How art thou fallen, Bret Easton Ellis. 

I watched this because the reviews said it was just beyond awful. 

It's just beyond awful.

James Deen is like watching... well, like watching a porn actor read awful scripted lines with exactly one emotion: cocky douchiness.  Lindsay Lohan looks like... well, like a former Mouseketeer turning tricks for smack.  The writer is like... like... there is no simile for this, except someone putting his own testicles into a pencil sharpener and threatening himself to turn the handle a little more if he doesn't say something, anything, that's bone-stupid.

Plot: boring irritating people do boring irritating things and are bored and irritated with each other.

After watching, I took out my eyes and ran them through the washing machine eight times.",1
"1383",160,"Don't believe the negative reviews. I just picked this up used DVD. Lohan is really good, and Deen plays his character really well. The cinematography is good, if a bit non-conforming in the overall visual feel of the movie. It was an indy film, probably nobody got paid good money for an overall art direction feel to it. Get over it. Its a tale of a chick hanging on and a guy with a trust fund supporting her. They work that out thru online hookups that get filmed. She does people, he does people. It gets filmed. Welcome to Hollywood. Its not great, but its not as terrible as the reviews would have you believe. If u wanna stream it from somewhere, or u find it in a bargain bin - GRAB IT. Its worth a watch",4
"1384",161,"So this was a notorious project because of the presence of the notorious Lindsay Lohan.

The thing is it is not a horrible movie. It's not a great movie for sure and someone else would have been better in the role LL plays in the movie, type wise, but she's OK if a bit sad and puffy looking, not great for someone in her mid-20s. But maybe on second thought appropriate for the role of a fading Hollywood woman with a very dim future.

It turned out the most notorious person in the movie is the male lead, James Deen. He came from porn where he performs bisexually, I have not seen any of these movies. He is one of the few contemporary male porn performers with name recognition. The gossip goes that he was brought into the project via Bret Easton Ellis who wanted him.
He is a little weak but good enough in the role even though there was no reason that a porn actor had to do this, there is not that much sex on screen in the movie. He does bring a definite smarminess to the role. I kept seeing him in Overexposed: The Anthony Weiner Story.
Anyway, he plays a bratty LA mega trust fund guy who produces movies. Lohan plays his girlfriend who is basically doing what Charlie wants which is mostly be involved with hook-ups with other people which he likes to record on his phone. They have an encounter in which she gets him to do something with another man and around the same time he thinks that she is seeing someone else who he doesn't know about. All this causes a blow out of his need to control her resulting in nasty wayward brutal emotions.

The question is: Is James Deen basically playing himself and are the nasty scenes in the film, brutality to women, reflective of his actual life? (He has since been accused of brutality toward women by a couple of victims.) 
And: Did Ellis know this and for that reason put him in the movie?

Paul Schrader has had a really brilliant career. I hope he gets to make another movie after this.

The themes in the movie, well worth looking into, are more successfully explored in an older movie Star 80 by Bob Fosse. An excellent move.",3
"1385",162,"A vapid film that drags, so yeah, not the best combination. Lohan and Deen are equally bad.",2
"1386",163,"About halfway through, I realized that I had seen this film before. It was interesting enough, but it's certainly not one of my favorite sci-fi films. 

Part of the attraction for me about space films is the space scenes and the interiors of the space ships. But it seemed to me that they sort of skimped on that in this film. 

There was also some confusion about who was where while the lander was on Europa. I believe James was on the main vessel, orbiting the moon when he was lost. After all, he floated away into space as he died. But they didn't make that very clear. 

There also wasn't really much to the plot. People just kept dying one after the other, then they finally got back into touch with Earth, only to have everything go to pot again. Not much of a story there. Interesting in its own way, though. 

You also never really get to know any of the characters or anything about their families waiting for them at home. So, if you're looking for a good sci-fi film, check out Passengers or Interstellar or maybe 2010.",3
"1387",164,"I waited and waited and waited for something, anything....nothing",1
"1388",165,"Space exploration documentary from webcams, CCTVs & Gopro, it's more a disaster then thriller or mystery. Interesting prespectives indeed, nothing like others abundance space movies out there but still lack of freshness.",4
"1389",166,"I've been fascinated by the possibilities of discovery on Europa for a long time now and this film does a lot to stir the imagination.",4
"1390",167,"Paranormal activity meets Star Trek original series, but not funny and kind of stressful. I hate cephalopods.",3
"1391",168,"This was the worst the movie, next to Interstellar, Gravity and Passengers. Too much heavy breathing. Infuriating and I hate LED octopus. Would not recommend unless you feel like suffering.",1
"1392",169,"Very good movie, I was impressed! What would I like to get from the movie? More emotions from the actors, I think that's it weakness.",4
"1393",170,"Well directed documentary style science reasonably accurate journey of what such a dangerous solar system trip might be like to Europa, especially inside the ship.  Did not clearly indicate that the pilot actually survived though that seems to be a given due to the narration by her.  Manned by enough crew members so all but one could be killed off making for excitement in the script.  Preferred the end had not been so chaotic nor that so many died.",4
"1394",171,"It always bugs me when the poster art of a movie is a total lie.  The movie has no breathtaking vistas that the cover art is selling us to entice us to watch the movie.  It's dishonest and shows an utter lack of integrity.  The producers should be ashamed.  Now, for the movie.  Very derivative of several other movies of this genre.  This story was just about one problem after another.  The payoff was expected but was too little and too late.",1
"1395",172,"This joint is boring as hell, and I never cared about the characters.",2
"1396",173,"A sensitive coming of age story that doesn't rely on stereotypes and tropes too much. I loved how realistic everything felt. Great acting, especially from Shailene Woodley.",4
"1397",174,"Those who can relate to this movie are ones who were probably in the popular(ish) crowd and had moments where you sat around late at night talking about how this is gong to be best moment of their lives.  The moment at the prom, and talking to his teacher toward the end reflected many conversations I had with my friends in high school.

But I can also see how the rest of the people would feel left out, feels that popular kid are just over glorified, and feel resentment.  But if people can get past those feeling and watch the movie for what it is, it is a very genuine movie about struggles of teenager growing up and awkward and innocent moments in their lives.",5
"1398",175,"Estás cansada de decirle a tu amiga ""ese man no te conviene""? Pues esta película es para ella, date cuenta que corres riesgos amiga",4
"1399",176,"It's a cute movie, with good story-telling of a NOT overcrowdes coming-of-age movie. Getting your act together and serve true love, what else is there too enjoy!",4
"1400",177,"Charming, thoughtful, relatable fun coming of age movie, miles teller is fantastic. This isn't just another romantic teen movie, it's thought provoking and real. The writing and acting are exceptional.",5
"1401",178,"A beautifully written story with authentic performances by Woodley and Teller.",5
"1402",179,"Can't speak highly enough of this film.",5
"1403",180,"Beautiful and well told story, characters were both so likeable in their own ways. Highly recommend!",5
"1404",181,"This movie is an ingenious look at teenage romance and the life of teenagers. The acting, writing and directing are all so clean and all work together to make this seem incredibly real and enthralling. You genuinely cry, laugh and smile with the characters which is really special. One of the best teenage coming of age movies of our generation.",5
"1405",182,"I loved the beginning, I was hooked during the middle, but I HATED the ending.",4
"1406",183,"Looks like Trivikram's pen and screenplay has stopped for this film. The much hyped movie couldn't do the justice for the teaser. Routine and predictable scenes in the second half makes the movie bored, even brahamanandam's role was not clicked as in their previous combinations like athadu and jalsa. One time watch for the Powerstar Pawan Kalyan.",2
"1407",184,"An enjoyable family-entertainer, ATTARINTKI DAAREDI belongs to just three people - Pawan Kalyan, DSP, and Trivikram Srinivas.",4
"1408",185,"Pawan's one man show",5
"1409",186,"Pawan Kalyan as an Actor and Trivikram as a Story Teller scored 100/100.
Pawan Kalyan's performance in the climax and sensible heart touching story will haunt you for some time. Nadhiya's apt as Atha and rest of the crew, devi sri did their job very well and made it look like classic. Though not a novel story but the story telling ability of Trivikram with his own mark dialogues will keep the flavor of the movie until last scene where Pawan Kalyan takes it to next level. Surely, this is not a movie to be watched once. Waiting eagerly for Blu Ray print.

Thanks PK and TS for a great movie.",5
"1410",187,"We'll made clean family entertainer",4
"1411",188,"Strong star cast and Trivikram Srinivas's emotional touch with own style of dealing with Pawan Kalyan turned out to be a good film all together.",5
"1412",189,"Being a fan of Telugu cinema for awhile finally where I live in Surrey BC a telugu film was playing that at 9am. People were already lined up to enter at 8:30am when i arrived and the theatre was full before show started. All i can say is what an experience,people were throwing money, whistling, clapping during the film. Shows the power of cinema and Superstar Pawan Kalyan.Film was also very good,and entertaining,tells the story of an old grandpa who wants to reunite with his daughter who married without his consent, and was kicked out the house.Now his grandson must go to India from, Itlay to bring back his aunt and her family. A simple story that packs action,loads of comedy and sentiment. A full entertaining experience. Pawan Kalyan is the film, he killed it in all departments, he showed how good of actor he is in the climax. Brahmi was a laugh riot as Bhaskar, and ali was funny too. Samantha was too cute and amazingly good looking in the film. The Dir after Julayi does another film that adds mass and class sense ablities which equals a blockbuster film.Hats off Trivikam!!! Overall if want enetertainment do yourself a favour watch this film!!!",5
"1413",190,"My fav slapstick <U+2665><U+FE0F>
Nice emotional scenes too<U+0001F44C>",5
"1414",191,"World Class movie & Also My Favourate movie",5
"1415",192,"chennai express as a sweet & fress movie
",5
"1416",193,"Aside from a decent first twenty to thirty minutes or so and some okay jokes here and there, ""Chennai Express"" is downright unwatchable. This movie is a misfire all around. The story is such a drag and painfully boring almost all the way through. I don't mind an over the top movie like this from time to time, but it needs to be at least entertaining. The movie isn't even that long for Bollywood standards but I started to feel like it would never end. I thought the actors did what they could but the script was not strong at all, and no caliber of actors could have changed that. If you're looking for a mindless action comedy from Bollywood, I can guarantee that there are much better movies that will actually engage you with their action and will actually make you laugh. Overall, it's movies like this one that give Bollywood a bad reputation and it should be avoided at all costs.",2
"1417",194,"sums up everything wrong with bollywood for the last 15 years",1
"1418",195,"Perfect movie :) SRK is legend",5
"1419",196,"SRK never fails to disappoint.
This movie is something which will determine what BO collection is.
Amazing screenplay,music, comedy,action.
As a whole a wholesome entertainer.",5
"1420",197,"Poor comedy.. and d last action scene was not even better than tollywood...",2
"1421",198,"The comedy was super forced and not funny but the end fight was cool",3
"1422",199,"Other than it's comedy, Chennai Express doesn't have anything else to offer. Unfortunately it couldn't even use the one thing it had in many scenes, comedy. Some scenes are funny though, but the rest of the movie is boring supported by a predictable plot.",2
"1423",200,"Needs more of something.",2
"1424",201,"Missed opportunity for a movie that had a cool premise.",1
"1425",202,"not too bad really.  lacking storey",3
"1426",203,"Good Action. Hardly any plot, all, over the place.",3
"1427",204,"Despite some humor and a few entertaining characters,  feels like it came off an assembly line, with a formulaic plot, and a lack of character development.",1
"1428",205,"Disney's spin-off of Pixar's Cars franchise is about a crop dusting airplane that longs to be a racer. The animation is alright, but the lighting effects are not as good as the ones from Pixar. Again, you have to put aside thinking about the logistics of how this world works. The voice acting is well done here with props to Brad Garrett as the protagonist's best friend. The writing and storyboarding are where this movie falls short. The movie flows like a checklist of story beats they had to cover for the basics of the story to make sense. Reaction shots, inner monologue, deeper conversations between the characters, really anything that would have endeared these new characters to the audience are all missing. I'm sure a younger audience would be fine with this film and may even ask for a toy or two, but this isn't a movie for the whole family, skip it.",1
"1429",206,"Disney strikes out on  after success of sort with Cars!!!",3
"1430",207,"la verdad es que me gusta solo los ultimos minutos de la peli XD",2
"1431",208,"This Movie Is Worst Than Cars and Other Movies Made By Disney, I Came To See The Movie In Theaters Before Or After I Turned 7 Years Old In 2013, I Hope There's No  3 Because Is Gonna Suck More >:(",1
"1432",209,"Generic, but entertaining your target audience, but if you are over 16 years old you will probably fall asleep. (5.5/10)",3
"1433",210,"It‘s MEH/OK like it‘s a movie about a talking underdog misfit plane. It did the best it could.",2
"1434",211,"I remember really liking this film, but now its just a bit meh. At least its better than  2, right?",3
"1435",212,"A movie SO BAD it doesn't deserve a rating.",1
"1436",213,"Meh, this movie didn't totally work but it was fine.",3
"1437",214,"Interval was moving. But second half is a drag.",2
"1438",215,"Interval was moving. But second half is a drag.",2
"1439",216," a nice story with slow perfomance",3
"1440",217,"Only songs were good. Disappointed with film :(",2
"1441",218,"A poor script and mismatched actor crumbles down what could have been something much more than this garbage, though have to say the visuals and the whole texture of the movie is pretty much the only thing that makes this movie watchable",1
"1442",219,"The movie starts to follow the likes of Nayakan, Thalapathi and you name it they have lifted the scenes from it . Australia is shot so beautiful. The songs are average. The style and the mass quotient of Vijay is missing ,however in few scenes he steals the show and the theatre goes gaga. If the movie had trimmed a good 35 mins it would have been much entertaining than it was. The movie got nothing special to applaud.",2
"1443",220,"What's not to like about a Vijay movie?",5
"1444",221,"Thalaiva - Same old shit!",1
"1445",222,"My rating, overall: 8.7/10

STORY (1/1)

A common man's slow process of becoming his people's leader is the story of . The story is very similar to The Godfather's, Nayagan's and so on. But, it is a valid one-liner story. It does not complicate audiences and prone to loopholes. The tough part is the execution of this one-liner into a feature length movie. Director A.L Vijay has pulled it off quite well.

SCREENPLAY (0.7/1)

The transformation process of the common man has been shown in a very unhurried pace. This adds class to the overall movie. In fact,  shows the process mainly, because the protagonist only becomes the leader in the last scene. The slow pace suggests that the movie is a commercial drama instead of an action thriller. This worked well because Mr. Director is the best in it. Songs were placed in their rightful positions. The first half traveled in a sweet and sugar coated story line. The second half became dry and draggy for a moment but picked up its pace without taking a long time. Although minute, but there were 1 usual cliche (hero doesn't get shot when bullets fly around) and 2 logic defying scenes (antagonist hides in the prison cell without being noticed by police and escaping from armed polices in a van) which were very transparent to me. I do not know why A.L Vijay chose to picture Thalaiva Thalaiva song with people hailing the leader. It has been a very long time since such picturization came out, and it turned out to be fake and cheesy. He could have just let the song as narration like how he did for half of the song.

DIALOGUES (1/1)

Powerful dialogues have been pillars for . The idea of using a theme dialogue which goes: 'Ithu ottha vazhi pathai. Oru thadavai namma kaiyiku katthi vanthuchina, onnu kaakum, ille alikum' is brilliant. It describes the entire movie in a sentence.

CINEMATOGRAPHY (1/1)

Nirav Shah, as usual has leveled a movie several notches higher with his cinematographic skills. The angles and the type of lens he chose to portray different moods were apt. One should watch out for the way he threw a different light on Sydney, Australia in the first half of the movie.

EDITING (0.5/1)

Although overall editing was good, but Anthony could have scissored the movie at many points and made it even shorter and compact. 3 hours is a lengthy movie duration. Sound editing could have been continuous at certain places without being abruptly stopped.

PERFORMANCE (1/1)

Vijay plays two distinct characters. This guy is becoming younger each movie he acts. As an actor, he has improved immensely. His bubbly character in the first half and the serious one in the second half were properly carried out. He emotes perfectly too. Sathyaraj did full justice to his role as the people's leader and a dad. Santhanam is becoming more than a comedian in movies nowadays. Actresses are always given meaty roles in A.L Vijay's movies, and  is not exception. Amala Paul did a good job as a lover and police officer. Overall, everyone did a very good job under the cap of the movie's genre.

CHARACTERIZATION (0.8/1)

Vijay's and Sathyaraj's character were well justified. Amala Paul's sudden change of character was a good twist, but one doubts whether a police officer would go around romance and dance for the sake of investigation. But well, its a commercial drama and all that is justified as well. Reasons behind Ponvannan's character turning bad could have been explained further",5
"1446",223," slow at the start & the climax slips making the film look very ordinary one. Finally, good wins over evil.... It seems Vijay fell in love with the city of Mumbai... :P",2
"1447",224,"Why does Lee Daniel’s have the film making maturity of a high schooler? This feels exactly like a school project your 15 yr old would come up with. With sledgehammer ‘ohhh that’s so meaningful!’ moments.",3
"1448",225,"The historical pieces were great and the cast was impressive.  However, some of the big actors seemed to be there as cameos and could have done more.",4
"1449",226,"John Cusack is a great actor but casting did not make the right fit for this role, John looks young for his age, he was 47 at the time when he portrayed Nixon, but He looked 37 years old compared to Nixon who  was 57 when elected.  No attempt at emulating Nixon's voice, or tone, or accent, or mannerisms.  I felt like I was watching  John Cusack play John Cusack who was  kind of pretending to be Nixon.  Great actor, wrong casting choice for the role.",2
"1450",227,"This movie lined up almost perfectly with my level of interest in presidential history; it hits some of the highlights of each administration and then moves onto the next one in a way that leaves the over-two-hour runtime feeling incredibly brisk the whole way through. Forest does a tremendous job here; the supporting cast was at least fun to point at when we recognized somebody, though I'm not usually a fan of under-utilizing good actors the way the movie required. This is particularly superior to next year's Selma, which got a Best Picture Oscar nomination while this one did not. The only flaws here come from the man they chose to depict; while nobody is perfect, he was too passive & unaccepting of his son's role in the Civil Rights movement.",5
"1451",228,"Powerful, touching, ""Lee Daniels' The Butler"" puts our heartless history in perspective, just as it hits your heart. Spot-on performances by an all-star cast in a massive undertaking interweaving the grisly battles from Jim Crow to Barack Obama and the tender lives crushed, but defiant, along the way. In one scene, JFK tells our protagonist, Mr. Gaines (Forrest Whitaker), that, after witnessing the horrors rained down on The Freedom Fighters, ""I get it,"" that is, the pain of African-Americans. As a White man who's lived through decades witnessing society's indifference and abuse of Blacks, I have to say - especially after ""The Butler"" - there's no way I truly ""get it,"" as I'm not Black. But Mr. Daniels' work brings me, and all of us, miles closer to that understanding.",5
"1452",229,"Even though it's narrative is a little bit choppy at times, this film tells a poignant story for the ages brought to life by all-round brilliant performances by it's ensemble cast that includes Forest Whitaker, Oprah Winfrey, John Cusack, James Marsden and the late, great Robin Williams and Alan Rickman.",5
"1453",230,"Fascinating story about a butler who worked in the White House over many decades and his family.",4
"1454",231,"The Butler's entire running time is gnarled, mottled, and marred by the obnoxious presence and pompous demeanor of Oprah Winfrey. There are still individuals who will not tolerate the basket, even if it's with just one rotten apple. Apart from the regurgitating sensation of seeing the hunk, Terence Howard, slobber after her, it brings to mind an insult from that deep place carrying the connotation, 'slave on a king's horse.' It comes complete with slave's finger in mouth and quizzical countenance of one who is not quite sure if he's in the right movie … or should he even be on this horse.",1
"1455",232,"A powerful and moving film. Historically, the film is not particularly accurate, but I only take chagrin with such liberties when they detract from the tale being told (or seem totally arbitrary). While Eugene Allen only had one son (who was not a Black Panther) and his parents did not experience what they did in the film, the intent here is really to make Cecil Gaines and his son avatars for all the different shades of suffering and opposing ideas during this period in black history. While the Allens may not have experienced all of these things, many in America certainly did.

Some of the Presidential portrayals (particularly Nixon for me), were not quite there, but the central roles are acted very well, particularly Forest Whitaker. The film doesn't go anywhere truly unexpected, but the story it tells is still important, and will remain important. I find it particularly admirable that the film recognizes the contribution of the more quiet among humanity, who nevertheless are causing as much to change behind the scenes, as those who fight in the streets.",5
"1456",233,"Essential American history.  Such an important, well-done film.  Moving.",5
"1457",234,"Overall ‘' is acceptable as a biography, but uninspiring as a movie, always staying on the safe lane, never really questioning our main character, or bringing any new perspectives to a story most of its viewers already know. if you are familiar with Steve  and his life, there is absolutely no need to watch this. And if you aren't, i would still recommend reading one of the many biographies out there, or just watching the significantly better 'Steve ' (2015).",2
"1458",235," was a jerk, same as Zuckerberg, same as Gates... only out for themselves. this film displayed truth.",5
"1459",236,"The movie is about Steve . Automatically the team behind the movie can take iyt for granted that the target audience already knows the story. They're tuning in to see the story portrayed in film. Why film half the story then end with a sentence that says what happens next? If we wanted to read about Apple's success we could have googled it. This would have been better as a tv mini series.",2
"1460",237,"Me parece que el principal problema de esta película es que al tratarse de uno de los personajes mas atrevidos de la industria tecnológica la película es muy poco arriesgada, cayendo en una contradictoria con el Personaje al que representan. Otra cosa que no me gustó de la película es que se siente mucho la fórmula de documental. donde ya te das una idea de lo que puede ocurrir. Y así mismo llegamos a la tercer cosa que no me gustó de la película, que es que me parece que desperdician muchísimas cosas de la vida de Steve , donde solo hacen una referencia pero sin tratar de fondo a el ni a ningún personaje. Pareciendo que es una serie y que nos perdimos los primeros 3 capítulos de la misma. Lo que me gustó de la película es el increíble cast, lo que desemboca en increíbles actuaciones, aunque el guion no los ayuda mucho. para mi esta película cae en lo mismo que muchos documentales de hoy en día sin ser diferente o proponer cosas nuevas un documental mas.",2
